,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
133,6222407,15.602,5978.0,4.371,1.022,0.8959999999999999,1.182,5978,4.371,1.022,0.8959999999999999,1.182
134,9909504,15.054,5779.0,4.2989999999999995,1.2,1.046,0.8521,5779,4.299,1.2,1.046,0.8521
135,7362355,18.954,5819.0,4.29,1.11,0.8759999999999999,0.9029,5819,4.29,1.11,0.8759999999999999,0.9029
136,12504849,17.342,5695.0,4.256,1.2,0.945,0.7708,5695,4.256,1.2,0.945,0.7708
137,11188163,16.724,5847.0,4.2780000000000005,1.205,1.003,0.8083,5847,4.2780000000000005,1.205,1.003,0.8083
138,11075222,18.649,5522.0,4.378,0.987,0.8490000000000001,1.244,5522,4.378,0.987,0.8490000000000001,1.244
139,8456181,19.49,5217.0,3.842,2.008,1.021,0.1777,5217,3.842,2.008,1.021,0.1777
140,6099668,0.0,5210.0,4.395,0.9790000000000001,0.866,1.3019999999999998,5210,4.395,0.979,0.866,1.3019999999999998
141,4640942,11.927999999999999,6004.0,3.9419999999999997,1.8419999999999999,1.082,0.244,6004,3.942,1.842,1.082,0.244
142,9050271,20.011,6000.0,4.349,1.036,0.873,1.107,6000,4.349,1.036,0.873,1.107
143,11655945,21.713,5821.0,4.363,1.05,0.928,1.13,5821,4.363,1.05,0.9279999999999999,1.13
144,6941078,15.097999999999999,5802.0,4.213,1.26,0.947,0.667,5802,4.213,1.26,0.9470000000000001,0.667
145,4916165,15.33,5708.0,4.024,1.682,1.09,0.3227,5708,4.024,1.682,1.09,0.3227
146,12157369,24.078000000000003,5606.0,4.394,0.9940000000000001,0.892,1.28,5606,4.394,0.994,0.892,1.28
147,6267535,16.447,5460.0,4.138999999999999,1.3459999999999999,0.911,0.5259,5460,4.1389999999999985,1.346,0.9109999999999999,0.5259
148,9944591,14.148,5746.0,4.254,1.161,0.882,0.7951,5746,4.254,1.161,0.882,0.7951
149,5025688,25.11,6046.0,4.362,1.218,1.247,0.9722,6046,4.362,1.218,1.247,0.9722
150,4246448,22.583000000000002,5666.0,4.224,1.2990000000000002,1.031,0.6618,5666,4.224,1.2990000000000002,1.031,0.6618
151,4820062,23.596,5699.0,4.104,1.492,1.031,0.4370000000000001,5699,4.104,1.492,1.031,0.4370000000000001
152,12208631,15.753,5481.0,4.3610000000000015,1.014,0.86,1.1640000000000001,5481,4.3610000000000015,1.014,0.86,1.164
153,9784166,12.315,6010.0,4.194,1.455,1.211,0.5538,6010,4.194,1.455,1.2109999999999999,0.5538
154,6605745,14.797,5907.0,4.242,1.258,1.007,0.7129,5907,4.242,1.258,1.0070000000000001,0.7129
155,5940590,15.368,5772.0,4.343999999999999,0.991,0.79,1.143,5772,4.3439999999999985,0.991,0.79,1.143
156,10801738,14.321,6057.0,4.133,1.4780000000000002,1.082,0.4719,6057,4.133,1.4780000000000002,1.082,0.4719
157,9398020,48.026,5313.0,3.7089999999999996,2.782,1.444,0.09451,5313,3.709,2.782,1.444,0.09451
158,9815334,17.724,5256.0,3.678,2.8310000000000004,1.391,0.08639,5256,3.678,2.8310000000000004,1.391,0.08639
159,7185607,14.577,5754.0,4.337,1.115,0.985,1.001,5754,4.337,1.115,0.985,1.001
160,12509088,13.627,6038.0,3.842,2.153,1.175,0.1659,6038,3.842,2.153,1.175,0.1659
161,9051723,57.992,5395.0,4.362,1.011,0.858,1.169,5395,4.362,1.011,0.858,1.169
162,10656508,10.017000000000001,5819.0,4.2410000000000005,1.248,0.989,0.7163,5819,4.2410000000000005,1.248,0.9890000000000001,0.7163
163,5697072,13.853,5556.0,4.398,0.929,0.789,1.383,5556,4.398,0.929,0.789,1.383
164,4443452,15.324000000000002,5637.0,4.374,1.072,0.993,1.1340000000000001,5637,4.374,1.072,0.993,1.134
165,9458127,35.379,5927.0,4.173,1.423,1.099,0.5375,5927,4.173,1.423,1.099,0.5375
166,6497336,11.695,6021.0,4.216,1.3630000000000002,1.114,0.6199,6021,4.216,1.3630000000000002,1.114,0.6199
167,3869891,13.475999999999999,5674.0,4.098,1.432,0.938,0.4496,5674,4.098,1.432,0.938,0.4496
168,7986726,0.0,6038.0,4.322,1.109,0.942,0.9731,6038,4.322,1.109,0.9420000000000001,0.9731
169,7918653,12.515,5607.0,3.8569999999999998,1.742,0.795,0.2117,5607,3.857,1.742,0.795,0.2117
170,9285636,16.914,5654.0,4.129,1.389,0.948,0.4976,5654,4.129,1.389,0.948,0.4976
171,5444548,14.779000000000002,5799.0,4.3610000000000015,1.078,0.972,1.094,5799,4.3610000000000015,1.078,0.972,1.094
172,10594040,5.581,6046.0,4.334,1.101,0.953,1.0070000000000001,6046,4.334,1.101,0.953,1.007
173,11456170,16.205,5397.0,3.648,2.6039999999999996,1.098,0.08757000000000001,5397,3.648,2.604,1.0979999999999999,0.08757000000000001
174,3965661,13.634,5716.0,4.356,1.05,0.912,1.109,5716,4.356,1.05,0.912,1.109
175,6188437,15.123,5738.0,4.243,1.159,0.858,0.7757,5738,4.243,1.159,0.858,0.7757
176,3736105,13.923,6042.0,3.873,1.989,1.077,0.1929,6042,3.873,1.989,1.077,0.1929
177,11962791,47.983999999999995,5369.0,4.383,0.982,0.848,1.263,5369,4.383,0.982,0.848,1.263
178,10514649,23.831,5651.0,4.388,0.972,0.8440000000000001,1.2930000000000001,5651,4.388,0.972,0.8440000000000001,1.293
179,3112234,20.182000000000002,5597.0,4.084,1.556,1.07,0.4004,5597,4.084,1.556,1.07,0.4004
180,9041133,21.774,5989.0,3.8510000000000004,2.079,1.121,0.1755,5989,3.851,2.079,1.121,0.1755
181,4168903,42.698,5231.0,3.7560000000000002,2.323,1.123,0.1261,5231,3.756,2.323,1.123,0.1261
182,5355471,16.768,6007.0,4.106,1.374,0.879,0.4768,6007,4.106,1.374,0.879,0.4768
183,4773496,0.0,6038.0,4.2780000000000005,1.104,0.8440000000000001,0.8825,6038,4.2780000000000005,1.104,0.8440000000000001,0.8825
184,8293403,22.697,5778.0,4.382,1.024,0.922,1.21,5778,4.382,1.024,0.922,1.21
185,7417322,17.58,5441.0,4.35,1.084,0.958,1.0590000000000002,5441,4.35,1.084,0.958,1.0590000000000002
186,7199917,15.642999999999999,5551.0,3.8760000000000003,1.985,1.08,0.1946,5551,3.876,1.985,1.08,0.1946
187,8509361,17.564,5743.0,3.8810000000000002,1.9709999999999999,1.077,0.1982,5743,3.881,1.971,1.077,0.1982
188,12106092,14.132,5989.0,3.872,1.931,1.012,0.1979,5989,3.872,1.931,1.012,0.1979
189,6776594,18.646,5964.0,3.9339999999999997,1.801,1.016,0.2451,5964,3.934,1.801,1.016,0.2451
190,6967105,10.999,5201.0,3.73,2.616,1.339,0.1054,5201,3.73,2.616,1.339,0.1054
191,6145937,19.709,5388.0,3.7510000000000003,2.401,1.185,0.1207,5388,3.751,2.401,1.185,0.1207
192,6431741,17.76,5290.0,3.738,2.0669999999999997,0.852,0.1359,5290,3.738,2.067,0.852,0.1359
193,9724635,15.770999999999999,5696.0,4.369,0.973,0.8079999999999999,1.236,5696,4.369,0.973,0.8079999999999999,1.236
194,2012005,42.798,5692.0,3.938,1.78,1.002,0.2502,5692,3.938,1.78,1.002,0.2502
195,7269718,0.0,6045.0,4.395,1.122,1.145,1.141,6045,4.395,1.122,1.145,1.141
196,12108333,82.76700000000001,5991.0,4.212,1.25,0.928,0.6699,5991,4.212,1.25,0.9279999999999999,0.6699
197,10989278,10.347000000000001,5786.0,4.391,1.047,0.983,1.205,5786,4.391,1.047,0.983,1.205
198,8621911,12.867,6028.0,4.39,1.1059999999999999,1.095,1.138,6028,4.39,1.106,1.095,1.138
199,6212024,17.108,5989.0,4.359,1.117,1.039,1.0490000000000002,5989,4.359,1.117,1.0390000000000001,1.0490000000000002
200,11400548,0.0,5858.0,4.303,1.102,0.89,0.9362,5858,4.303,1.102,0.89,0.9362
201,8757293,17.834,5814.0,4.332,1.073,0.902,1.0290000000000001,5814,4.332,1.073,0.902,1.029
202,9593390,10.661,5613.0,3.6319999999999997,2.195,0.753,0.1003,5613,3.632,2.195,0.753,0.1003
203,10074149,9.158999999999999,5292.0,3.929,1.673,0.867,0.2607,5292,3.929,1.673,0.867,0.2607
204,6966513,0.0,5790.0,4.397,1.026,0.957,1.25,5790,4.397,1.026,0.9570000000000001,1.25
205,5481695,15.01,5908.0,4.273,1.109,0.8420000000000001,0.8685,5908,4.273,1.109,0.8420000000000001,0.8685
206,11602191,17.706,5942.0,4.342,1.065,0.91,1.061,5942,4.342,1.065,0.91,1.061
207,9823415,27.759,5477.0,3.9589999999999996,1.662,0.918,0.2817,5477,3.959,1.662,0.9179999999999999,0.2817
208,10585775,18.88,5257.0,3.6830000000000003,2.7,1.283,0.09181,5257,3.683,2.7,1.2830000000000001,0.09181
209,7094022,13.593,5971.0,4.336,1.083,0.927,1.0290000000000001,5971,4.336,1.083,0.927,1.029
210,10063527,10.985999999999999,5802.0,4.383,1.0190000000000001,0.915,1.217,5802,4.383,1.019,0.915,1.217
211,8260135,26.136,5597.0,3.84,2.22,1.242,0.1599,5597,3.84,2.22,1.242,0.1599
212,7509667,0.0,5712.0,4.072,1.508,0.98,0.4023,5712,4.072,1.508,0.98,0.4023
213,11649990,1.992,5985.0,4.324,1.026,0.81,1.055,5985,4.324,1.026,0.81,1.055
214,3642402,13.640999999999998,5895.0,4.283,1.149,0.926,0.8587,5895,4.283,1.149,0.9259999999999999,0.8587
215,10716302,0.0,5480.0,4.22,1.229,0.914,0.6939,5480,4.22,1.229,0.914,0.6939
216,3645789,17.362000000000002,5823.0,3.819,2.363,1.3430000000000002,0.1433,5823,3.819,2.363,1.3430000000000002,0.1433
217,6891299,0.0,6046.0,4.3469999999999995,1.138,1.048,1.001,6046,4.347,1.138,1.048,1.001
218,5009384,0.0,5620.0,3.957,1.84,1.117,0.2527,5620,3.957,1.84,1.117,0.2527
219,1866778,10.76,5962.0,3.6510000000000002,3.1060000000000003,1.574,0.07402,5962,3.651,3.1060000000000003,1.574,0.07402
220,8297569,38.201,6043.0,4.399,1.023,0.957,1.258,6043,4.399,1.023,0.9570000000000001,1.258
221,10924142,40.626,5814.0,4.165,1.239,0.818,0.6055,5814,4.165,1.239,0.818,0.6055
222,11254382,14.204,5626.0,4.271,1.185,0.956,0.8091,5626,4.271,1.185,0.956,0.8091
223,8580438,7.6739999999999995,5516.0,4.364,0.988,0.825,1.203,5516,4.364,0.988,0.825,1.203
224,3453579,0.0,5579.0,4.308,1.067,0.843,0.978,5579,4.308,1.067,0.843,0.978
225,5637994,16.102,5982.0,4.123,1.364,0.901,0.5,5982,4.123,1.364,0.9009999999999999,0.5
226,9533062,0.0,5968.0,4.3260000000000005,1.055,0.861,1.032,5968,4.3260000000000005,1.055,0.861,1.032
227,8332260,0.0,5956.0,4.388999999999999,1.12,1.121,1.124,5956,4.3889999999999985,1.12,1.121,1.124
228,9897795,0.0,6018.0,4.0889999999999995,1.62,1.1740000000000002,0.3891,6018,4.089,1.62,1.1740000000000002,0.3891
229,5449264,14.085999999999999,5891.0,4.38,1.065,0.992,1.158,5891,4.38,1.065,0.992,1.158
230,5282313,14.673,5575.0,4.364,1.0170000000000001,0.871,1.168,5575,4.364,1.017,0.871,1.168
231,6422390,15.444,5960.0,4.1,1.459,0.978,0.4435,5960,4.1,1.459,0.978,0.4435
232,5822286,5.597,5529.0,4.385,0.9890000000000001,0.865,1.262,5529,4.385,0.989,0.865,1.262
233,3943262,15.24,5911.0,4.334,1.073,0.907,1.034,5911,4.334,1.073,0.907,1.034
234,6344224,17.497,5919.0,4.323,1.103,0.932,0.9795,5919,4.323,1.103,0.932,0.9795
235,9692557,14.932,5827.0,3.74,2.286,1.047,0.1233,5827,3.74,2.286,1.047,0.1233
236,10855313,36.931999999999995,5204.0,3.7760000000000002,2.3169999999999997,1.17,0.1324,5204,3.776,2.317,1.17,0.1324
